DOCULECT	CONCEPT	IPA
BankanTey	LIVESTOCK	dʒáwdì+m
BankanTey	LIVESTOCK	dá.ábà+m
BenTey	LIVESTOCK	àrsɛ̀.ɛ́+m
Bunoge	LIVESTOCK	kɔ́m.bɔ̀
DogulDomBendiely	LIVESTOCK	bɛ́lɛ̀+ɡ
DogulDomBendiely	LIVESTOCK	bɛ́lɛ̀+ɡù
DonnoSo	LIVESTOCK	bɛ̀lú
DonnoSo	LIVESTOCK	bɛ̀lú
JamsayGourou	LIVESTOCK	ɡàr#sɛ̀ɡɛ́
JamsayDouentza	LIVESTOCK	à#sɛ̀ɡɛ́
JamsayDouentza	LIVESTOCK	ɡà#sɛ̀ɡɛ́
JamsayMondoro	LIVESTOCK	à#sɛ̀ɡɛ
Mombo	LIVESTOCK	dèbù#bɛ́lí
Mombo	LIVESTOCK	bɛ́lí
BonduSoNajamba	LIVESTOCK	dúmɛ́+ŋ.ɡó
BonduSoKindige	LIVESTOCK	dùmɔ́.ɔ́+n
Penange	LIVESTOCK	dá.ábá
PergeTegu	LIVESTOCK	à#sɛ̀ɡɛ́
TebulUre	LIVESTOCK	à#sɛ̀ɡɛ́
TebulUre	LIVESTOCK	ɡà#sɛ̀ɡɛ́
TiranigeBoui	LIVESTOCK	bèl
TiranigeNingo	LIVESTOCK	bɛ̀lì
TogoKan	LIVESTOCK	ɡìr.∼í#árúsɛ̀ɡɛ̀
TommoSoTongoTongo	LIVESTOCK	ɡìnɛ̀+j#bɛ̀lù
TommoSoTongoTongo	LIVESTOCK	bɛ̀lú
TomoKanDiangassagou	LIVESTOCK	dá.ábá.á
ToroTegu	LIVESTOCK	àrùzàká
ToroTegu	LIVESTOCK	àrzàɡá
YandaDom	LIVESTOCK	à#zɛ̀ɡɛ̀
YandaDom	LIVESTOCK	à#sɛ̀ɡɛ̀
YornoSo	LIVESTOCK	àrù#sɛ̀ɡɛ́
BankanTey	CAMEL	ɔ̀.ɔ̀#ɲɛ̂.∼+m
BenTey	CAMEL	ɔ̀.ɔ̀#ɲùw.∼ɔ̂+m
Bunoge	CAMEL	ɲɔ́ŋɔ́+mɛ̀
DogulDomBendiely	CAMEL	jɔ́ŋù+mɛ̀
DogulDomKundialang	CAMEL	jɔ́ŋ+mɛ̀
DonnoSo	CAMEL	ɔ̀ŋɔ̀#jòŋó
