ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH
16251	BenTey-8_1plsubjectpronominal-1	BenTey		(1Pl subject pronominal)	ỳ∴	ỳ	j			1
16252	Bunoge-8_1plsubjectpronominal-1	Bunoge		(1Pl subject pronominal)	ŋ́	ŋ	ŋ			1
16253	DogulDomBendiely-8_1plsubjectpronominal-1	DogulDomBendiely		(1Pl subject pronominal)	ó	ó	ó			1
16254	DonnoSo-8_1plsubjectpronominal-1	DonnoSo		(1Pl subject pronominal)	ŋ, ʸŋ	ŋ	ŋ			1
16255	DonnoSo-8_1plsubjectpronominal-2	DonnoSo		(1Pl subject pronominal)	ŋ, ʸŋ	ʸŋ	j ŋ			1
16256	JamsayDouentza-8_1plsubjectpronominal-1	JamsayDouentza		(1Pl subject pronominal)	y	y	j			1
16257	Mombo-8_1plsubjectpronominal-1	Mombo		(1Pl subject pronominal)	Ǹ	ǹ	n			1
16258	Najamba-8_1plsubjectpronominal-1	Najamba		(1Pl subject pronominal)	y	y	j			1
16259	Nanga-8_1plsubjectpronominal-1	Nanga		(1Pl subject pronominal)	ỳ∴	ỳ	j			1
16260	Penange-8_1plsubjectpronominal-1	Penange		(1Pl subject pronominal)	ŋ̀ (perfective)	ŋ	ŋ			1
16261	PergeTegu-8_1plsubjectpronominal-1	PergeTegu		(1Pl subject pronominal)	y	y	j			1
16262	TebulUre-8_1plsubjectpronominal-1	TebulUre		(1Pl subject pronominal)	yⁿ	yⁿ	j~			1
16263	Tiranige-8_1plsubjectpronominal-1	Tiranige		(1Pl subject pronominal)	ní ~ nì V	ní	n í			1
16264	Tiranige-8_1plsubjectpronominal-2	Tiranige		(1Pl subject pronominal)	ní ~ nì V	nì_v	n ì + v			1
16265	TogoKan-8_1plsubjectpronominal-1	TogoKan		(1Pl subject pronominal)	ɛ́mɛ́ (optional, clauseinitial)	ɛ́mɛ́	ɛ́ m ɛ́			1
16266	TommoSoTongoTongo-8_1plsubjectpronominal-1	TommoSoTongoTongo		(1Pl subject pronominal)	ú	ú	ú			1
16268	ToroTegu-8_1plsubjectpronominal-1	ToroTegu		(1Pl subject pronominal)	í (clauseinitial)	í	í			1
16269	YandaDom-8_1plsubjectpronominal-1	YandaDom		(1Pl subject pronominal)	y	y	j			1
16224	BenTey-14_1sgindependentpronoun-1	BenTey		(1Sg independent pronoun)	í	í	í			1
16225	Bunoge-14_1sgindependentpronoun-1	Bunoge		(1Sg independent pronoun)	mì	mì	m ì			1
16226	DogulDomBendiely-14_1sgindependentpronoun-1	DogulDomBendiely		(1Sg independent pronoun)	mí	mí	m í			1
16227	DogulDomKundialang-14_1sgindependentpronoun-1	DogulDomKundialang		(1Sg independent pronoun)	mí	mí	m í			1
16228	DonnoSo-14_1sgindependentpronoun-1	DonnoSo		(1Sg independent pronoun)	mí	mí	m í			1
16229	JamsayDouentza-14_1sgindependentpronoun-1	JamsayDouentza		(1Sg independent pronoun)	mí	mí	m í			1
16230	Najamba-14_1sgindependentpronoun-1	Najamba		(1Sg independent pronoun)	mí	mí	m í			1
16231	Nanga-14_1sgindependentpronoun-1	Nanga		(1Sg independent pronoun)	ǐ:ⁿ	ì.íⁿ	ì í ∼			1
16232	Penange-14_1sgindependentpronoun-1	Penange		(1Sg independent pronoun)	mí	mí	m í			1
16233	PergeTegu-14_1sgindependentpronoun-1	PergeTegu		(1Sg independent pronoun)	mí	mí	m í			1
16234	TebulUre-14_1sgindependentpronoun-1	TebulUre		(1Sg independent pronoun)	mí	mí	m í			1
16235	Tiranige-14_1sgindependentpronoun-1	Tiranige		(1Sg independent pronoun)	míwⁿ, mì	mì	m ì			1
16236	Tiranige-14_1sgindependentpronoun-2	Tiranige		(1Sg independent pronoun)	míwⁿ, mì	mì	m ì			1
16237	TogoKan-14_1sgindependentpronoun-1	TogoKan		(1Sg independent pronoun)	íⁿ	íⁿ	í ∼			1
16238	TommoSoTongoTongo-14_1sgindependentpronoun-1	TommoSoTongoTongo		(1Sg independent pronoun)	mí	mí	m í			1
16240	ToroTegu-14_1sgindependentpronoun-1	ToroTegu		(1Sg independent pronoun)	mí ~ m̀ᵇí	mí	m í			1
16241	ToroTegu-14_1sgindependentpronoun-2	ToroTegu		(1Sg independent pronoun)	mí ~ m̀ᵇí	m̀ᵇí	m̀ᵇ í			1
16242	YandaDom-14_1sgindependentpronoun-1	YandaDom		(1Sg independent pronoun)	mí	mí	m í			1
16243	YornoSo-14_1sgindependentpronoun-1	YornoSo		(1Sg independent pronoun)	mú	mú	m ú			1
16244	JamsayDouentza-39_3plhumanpronoun-1	JamsayDouentza		(3Pl human pronoun)	bé	bé	b é			1
16245	PergeTegu-39_3plhumanpronoun-1	PergeTegu		(3Pl human pronoun)	bé	bé	b é			1
16246	TogoKan-39_3plhumanpronoun-1	TogoKan		(3Pl human pronoun)	bé	bé	b é			1
16248	ToroTegu-39_3plhumanpronoun-1	ToroTegu		(3Pl human pronoun)	bé	bé	b é			1
16249	YornoSo-39_3plhumanpronoun-1	YornoSo		(3Pl human pronoun)	bé	bé	b é			1
8939	BankanTey-89_muslimpraysayorperformonesprayer-1	BankanTey		(Muslim) pray, say or perform one's prayer	jíŋgárú káŋ	dʒíŋɡár-ú-káŋ	d ʒ í ŋ ɡ á r + ú + k á ŋ			0
8940	BenTey-89_muslimpraysayorperformonesprayer-1	BenTey		(Muslim) pray, say or perform one's prayer	sálù sálá, sâl sálá	sálù-sálá	s á l ù + s á l á			0
8941	BenTey-89_muslimpraysayorperformonesprayer-2	BenTey		(Muslim) pray, say or perform one's prayer	sálù sálá, sâl sálá	sâl-sálá	s â l + s á l á			0
8942	Bunoge-89_muslimpraysayorperformonesprayer-1	Bunoge		(Muslim) pray, say or perform one's prayer	sɛ̀nì kánì	sɛ̀nì-kánì	s ɛ̀ n ì + k á n ì			0
8943	DogulDomBendiely-89_muslimpraysayorperformonesprayer-1	DogulDomBendiely		(Muslim) pray, say or perform one's prayer	sɛ́ɛ̀n sɛ̀nɛ́	sɛ́.ɛ̀n-sɛ̀n-ɛ́	s ɛ́ ɛ̀ n + s ɛ̀ n + ɛ́			0
8944	DogulDomKundialang-89_muslimpraysayorperformonesprayer-1	DogulDomKundialang		(Muslim) pray, say or perform one's prayer	sɛ́nɛ̀	sɛ́n-ɛ̀	s ɛ́ n + ɛ̀			0
8945	DonnoSo-89_muslimpraysayorperformonesprayer-1	DonnoSo		(Muslim) pray, say or perform one's prayer	sɛ́nù sɛ́nɛ̀	sɛ́nù-sɛ́n-ɛ̀	s ɛ́ n ù + s ɛ́ n + ɛ̀			0
8946	Gourou-89_muslimpraysayorperformonesprayer-1	Gourou		(Muslim) pray, say or perform one's prayer	sálù sálá	sálù-sálá	s á l ù + s á l á			0
8947	JamsayDouentza-89_muslimpraysayorperformonesprayer-1	JamsayDouentza		(Muslim) pray, say or perform one's prayer	sâl sálá	sâl-sálá	s â l + s á l á			0
8948	Mombo-89_muslimpraysayorperformonesprayer-1	Mombo		(Muslim) pray, say or perform one's prayer	sàndì sándé	sànd-ì-sánd-é	s à n d + ì + s á n d + é			0
8949	Najamba-89_muslimpraysayorperformonesprayer-1	Najamba		(Muslim) pray, say or perform one's prayer	sân sán	sân-sán	s â n + s á n			0
8950	Nanga-89_muslimpraysayorperformonesprayer-1	Nanga		(Muslim) pray, say or perform one's prayer	sándì sándí	sánd-ì-sánd-í	s á n d + ì + s á n d + í			0
8951	Penange-89_muslimpraysayorperformonesprayer-1	Penange		(Muslim) pray, say or perform one's prayer	sɛ́ndí kán	sɛ́ndí-kán	s ɛ́ n d í + k á n			0
8952	PergeTegu-89_muslimpraysayorperformonesprayer-1	PergeTegu		(Muslim) pray, say or perform one's prayer	sâl sálá	sâl-sálá	s â l + s á l á			0
