	BankanTey	BenTey	BonduSoNajamba	Bunoge	DogulDomBendiely	DogulDomKundialang	DonnoSo	JamsayDouentza	JamsayGourou	JamsayMondoro	Mombo	Penange	PergeTegu	TebulUre	Tiranige	TogoKan	TommoSoTongoTongo	ToroTegu	YandaDom	YornoSo
BankanTey	0.0	0.45529801324503316	0.8214285714285714	0.8783783783783784	0.8516483516483516	0.837092731829574	0.8326923076923077	0.7180762852404643	0.721556886227545	0.7705627705627706	0.8918439716312057	0.8971553610503282	0.711340206185567	0.75	0.8571428571428572	0.8191489361702128	0.8669950738916257	0.7508591065292096	0.7566607460035524	0.8141135972461273
BenTey	0.45529801324503316	0.0	0.8317152103559871	0.8845315904139434	0.8324742268041238	0.8072289156626506	0.8007246376811594	0.5812883435582822	0.6261127596439169	0.6793248945147679	0.89	0.9135021097046414	0.5240464344941957	0.7214912280701755	0.8534883720930233	0.7524752475247525	0.8501529051987767	0.7752808988764045	0.725752508361204	0.7491961414790997
BonduSoNajamba	0.8214285714285714	0.8317152103559871	0.0	0.8243243243243243	0.7580645161290323	0.773955773955774	0.8494423791821561	0.853225806451613	0.8825301204819277	0.9170305676855895	0.8275862068965517	0.824295010845987	0.8192567567567568	0.7725225225225225	0.7410071942446044	0.8732876712328768	0.8573692551505547	0.897133220910624	0.7504332755632582	0.8547854785478548
Bunoge	0.8783783783783784	0.8845315904139434	0.8243243243243243	0.0	0.8327868852459016	0.8343023255813954	0.8690744920993227	0.8951965065502183	0.903010033444816	0.9386792452830188	0.6988235294117647	0.5334821428571428	0.8798185941043084	0.88	0.7287671232876712	0.904109589041096	0.9035087719298246	0.90744920993228	0.8542141230068337	0.8832951945080092
DogulDomBendiely	0.8516483516483516	0.8324742268041238	0.7580645161290323	0.8327868852459016	0.0	0.21666666666666667	0.6871508379888268	0.8203125	0.8143459915611815	0.8713450292397661	0.8241758241758241	0.8495297805642633	0.7780821917808219	0.7677419354838709	0.7907801418439716	0.8054794520547945	0.788659793814433	0.8753387533875339	0.7154929577464788	0.7774798927613941
DogulDomKundialang	0.837092731829574	0.8072289156626506	0.773955773955774	0.8343023255813954	0.21666666666666667	0.0	0.685	0.8110047846889952	0.8178438661710037	0.8722222222222222	0.8251928020565553	0.8305084745762712	0.7940446650124069	0.7696476964769647	0.764525993883792	0.8	0.8162291169451074	0.8471177944862156	0.7002518891687657	0.7744360902255639
DonnoSo	0.8326923076923077	0.8007246376811594	0.8494423791821561	0.8690744920993227	0.6871508379888268	0.685	0.0	0.7436823104693141	0.7523510971786834	0.7991071428571428	0.8493150684931507	0.8901098901098901	0.7159090909090908	0.767816091954023	0.8313253012048193	0.6996197718631179	0.7264492753623188	0.8289473684210527	0.7628083491461101	0.6015180265654649
JamsayDouentza	0.7180762852404643	0.5812883435582822	0.853225806451613	0.8951965065502183	0.8203125	0.8110047846889952	0.7436823104693141	0.0	0.24852071005917165	0.09745762711864403	0.8911222780569514	0.9178947368421053	0.4052718286655683	0.735357917570499	0.8804597701149426	0.5700164744645799	0.8315467075038285	0.711755233494364	0.7254575707154742	0.5977382875605816
JamsayGourou	0.721556886227545	0.6261127596439169	0.8825301204819277	0.903010033444816	0.8143459915611815	0.8178438661710037	0.7523510971786834	0.24852071005917165	0.0	0.23863636363636365	0.9174603174603174	0.9285714285714286	0.4414414414414415	0.7793594306049823	0.9010989010989011	0.5382262996941896	0.7916666666666666	0.7234042553191489	0.7345679012345678	0.5833333333333333
JamsayMondoro	0.7705627705627706	0.6793248945147679	0.9170305676855895	0.9386792452830188	0.8713450292397661	0.8722222222222222	0.7991071428571428	0.09745762711864403	0.23863636363636365	0.0	0.9502262443438914	0.9493087557603687	0.4612068965517241	0.7817258883248731	0.9234972677595629	0.6026200873362446	0.829059829059829	0.7333333333333334	0.7672413793103449	0.5836909871244635
