source,source_name,glottolog_code,glottolog_name,latitude,longitude,glottolog_class,family
Kastenholz 2017 : Bolgo,Bolgo,bolg1251,Bolgo,10.9,18.81,Adamawa_Bua,Adamawa
Dieu & Perrois 2016 : koma,Koma,gimn1238,Gimnime,8.58,12.79,Adamawa_Central,Adamawa
Shimizu 1983 : Mumuye (Zing),Mumuye (Zing),nucl1240,Mumuye,8.87,11.72,Adamawa_Central,Adamawa
Fabre 2001 : Samba leko,Samba leko,samb1305,Samba Leko,8.19,11.74,Adamawa_Central,Adamawa
Souag2016,Hassaniyya,hass1238,Hassaniyya,18.29,-14.11,Arabic,Arabic
Tastevin 1936 : ba ɲun,Ba ɲun,bain1259,Bainounk-Gujaher,12.31,-16.06,Atlantic_Bak,Atlantic
Ndiaye-Corréard 1970 : balante-fca (ganja),Balante-fca (ganja),bala1302,Balanta-Ganja,12.54,-15.67,Atlantic_Bak,Atlantic
Creissels & Biaye 2015 : balante ganja,Balante-fca (ganja),bala1303,Balanta-Ganja,12.54,-15.67,Atlantic_Bak,Atlantic
Sousa Bella 1946 : balante de Jabada,Balante de Jabada,bala1301,Balanta-Kentohe,11.82,-15.32,Atlantic_Bak,Atlantic
Kennedy 1961 : bandial,Bandial,band1340,Bandial,12.53,-16.42,Atlantic_Bak,Atlantic
Bassène 2006 : joola banjal,Joola banjal,band1340,Bandial,12.53,-16.42,Atlantic_Bak,Atlantic
Watson2017,Joola Kujireray,band1340,Bandial,12.533361,-16.350494,Atlantic_Bak,Atlantic
Diatta 2006 : joola bliss,Joola bliss,blis1238,Bliss,12.51,-16.55,Atlantic_Bak,Atlantic
Cobbinah 2013 : Gubaher,Gubaher,gub1234,Gubeeher-Gufangor-Gubelor,12.56,-17.19,Atlantic_Bak,Atlantic
GIE CLOA & SIL 2018 : gusiilaay,Gusiilaay,gusi1246,Gusilay,12.78,-16.5,Atlantic_Bak,Atlantic
Sapir 1965 : Joola Gusilay,Joola Gusilay,gusi1246,Gusilay,12.78,-16.5,Atlantic_Bak,Atlantic
Kennedy 1961 : casa,Casa,jola1262,Jola-Esulalu,12.51,-16.55,Atlantic_Bak,Atlantic
Kennedy 1961 : huluf,Huluf,jola1262,Jola-Esulalu,12.51,-16.55,Atlantic_Bak,Atlantic
Coly et al. 2008 : Diola Fogny,Diola Fogny,jola1263,Jola-Fonyi,12.76,-15.74,Atlantic_Bak,Atlantic
Koelle 1854 : I-A-2 - Fī́lham,I-A-2 - Fī́lham,jola1263,Jola-Fonyi,12.76,-15.74,Atlantic_Bak,Atlantic
Doneux 1975 : proto-manjaku,Proto-manjaku,jool1234,Joola-Manjaku,12.48,-16.75,Atlantic_Bak,Atlantic
Segerer 1998 : bijogo-kamona,Bijogo-kamona,bidy1244,Kanyaki-Kagbaaga-Kajoko Bidyogo,11.11,-16.15,Atlantic_Bak,Atlantic
Sambou 2007 : Karon,Karon,karo1294,Karon,12.99,-16.74,Atlantic_Bak,Atlantic
Kennedy 1961 : her,Her,kera1248,Keerak,12.37,-16.69,Atlantic_Bak,Atlantic
Payne 1992 : joola kwaatay,Joola kwaatay,kuwa1246,Kuwaataay,12.48,-16.75,Atlantic_Bak,Atlantic
Payne 2000 : joola kwaatay,Joola kwaatay,kuwa1247,Kuwaataay,12.48,-16.75,Atlantic_Bak,Atlantic
Pichl 1981 : Laala,Laala,leha1242,Lehar,14.94,-16.88,Atlantic_Bak,Atlantic
Thornell et al. 2016 : Laala,Laala,leha1243,Lehar,14.94,-16.88,Atlantic_Bak,Atlantic
Dièye 2011 : laalaa,Laalaa,leha1244,Lehar,14.94,-16.88,Atlantic_Bak,Atlantic
Koelle 1854 : I-B-2 - Sárār,I-B-2 - Sárār,mand1419,Mandjak,12.83,-15.92,Atlantic_Bak,Atlantic
Basso Marques 1947 : manjaku,Manjaku,mand1419,Mandjak,12.83,-15.92,Atlantic_Bak,Atlantic
Wilson 2008 : Manjaku (Churo) [cuur],Manjaku (Churo) [cuur],mand1419,Mandjak,12.83,-15.92,Atlantic_Bak,Atlantic
Doneux 1975 : manjaku bok,Manjaku bok,mand1419,Mandjak,12.83,-15.92,Atlantic_Bak,Atlantic
Buis 1990 : manjaku de Bassarel,Manjaku de Bassarel,mand1419,Mandjak,12.83,-15.92,Atlantic_Bak,Atlantic
Trifkovic 1969 : mancagne,Mancagne,mank1251,Mankanya,12.1,-15.7,Atlantic_Bak,Atlantic
Koelle 1854 : I-B-3 - Pẹ́pẹ̄l,I-B-3 - Pẹ́pẹ̄l,pape1239,Papel,11.9,-15.84,Atlantic_Bak,Atlantic
Ndao 2010 : pepel,Pepel,pape1239,Papel,11.9,-15.84,Atlantic_Bak,Atlantic
La Courbe (17e s.) in dʼAvezac 1845 : Guiolof,Guiolof,nucl1347,Wolof,15.25,-15.38,Atlantic_Bak,Atlantic
Koroma-Fachner 1994 : gola,Gola,gola1255,Gola,7.06,-10.81,Atlantic_Isolate,Atlantic
Koelle 1854 : XII-A-a-4 - Gúra,Gúra,gola1255,Gola,7.06,-10.81,Atlantic_Isolate,Atlantic
New Tribes Mission 1996 : bainouk,Bainouk,bain1261,Bainouk-Gunyaamolo-Gutobor,12.87,-16.23,Atlantic_North,Atlantic
Goudiaby 2016 : gújááhár,Gújááhár,bain1259,Bainounk-Gujaher,12.31,-16.06,Atlantic_North,Atlantic
Ferry 1991 : bedik,Bedik,bedi1235,Bedik,12.75,-12.48,Atlantic_North,Atlantic
Wilson (p.c.) : biafada,Biafada,biaf1240,Biafada,11.47,-15.13,Atlantic_North,Atlantic
Koelle 1854 : I-C-1 - Biā́fada,I-C-1 - Biā́fada,biaf1240,Biafada,11.47,-15.13,Atlantic_North,Atlantic
Dem 1995 : Gambian Wolof,Gambian Wolof,gamb1252,Gambian Wolof,13.53,-16.15,Atlantic_North,Atlantic
Bodian 2014 : guñaamolo,Guñaamolo,guny1242,Gunyamoolo,12.56,-17.19,Atlantic_North,Atlantic
Meyer 2001 : badiaranke,Badiaranke,bady1239,Jaad-Badyara,12.64,-13.48,Atlantic_North,Atlantic
Koelle 1854 : I-C-2 - Pádṣāde,I-C-2 - Pádṣāde,bady1239,Jaad-Badyara,12.64,-13.48,Atlantic_North,Atlantic
Bühnen 1988 : nyun-kas,Nyun-kas,kobi1241,Kobiana,13.53,-14.45,Atlantic_North,Atlantic
Sapir 1970 : Jóola Kujamutay,Jóola Kujamutay,kuwa1246,Kuwaataay,12.48,-16.75,Atlantic_North,Atlantic
Osborn et al. 1993,Fulfulde,maas1239,Maasina Fulfulde,14.49205,-3.6150667,Atlantic_North,Atlantic
Arnaud 1899 : peuhl (A-B),Peuhl (A-B),maas1239,Maasina Fulfulde,14.49205,-3.6150667,Atlantic_North,Atlantic
Seydou 2014 : peul (Massina),Peul (Massina),maas1239,Maasina Fulfulde,14.49205,-3.6150667,Atlantic_North,Atlantic
Seidel 2013 : Nalu,Nalu,nalu1240,Nalu,11.04,-14.82,Atlantic_North,Atlantic
Doneux ms. sd. : ndut,Ndut,ndut1239,Ndut,14.93,-16.98,Atlantic_North,Atlantic
