,BankanTey,BenTey,Bunoge,DogulDomBendiely,DogulDomKundialang,DonnoSo,Gourou,JamsayDouentza,Mombo,Najamba,Nanga,Penange,PergeTegu,TebulUre,Tiranige,TogoKan,TommoSoTongoTongo,ToroTegu,YandaDom,YornoSo
BankanTey,0.0,0.4042553191489362,0.8909774436090225,0.8760683760683761,0.8599221789883269,0.8411552346570397,0.7071129707112971,0.7192982456140351,0.8844765342960289,0.8692579505300353,0.5894736842105264,0.8754716981132076,0.7071428571428571,0.7279693486590038,0.9003690036900369,0.7864768683274022,0.8127208480565371,0.8071428571428572,0.7900355871886121,0.8
BenTey,0.4042553191489362,0.0,0.9182156133828996,0.8870292887029289,0.8631178707224334,0.8515901060070672,0.6708333333333334,0.6862068965517241,0.9,0.8888888888888888,0.5689655172413793,0.895910780669145,0.6035087719298246,0.7518796992481203,0.916058394160584,0.7657342657342657,0.8442906574394464,0.8091872791519434,0.8076923076923077,0.7894736842105263
Bunoge,0.8909774436090225,0.9182156133828996,0.0,0.8558951965065502,0.8645418326693227,0.8587360594795539,0.8913043478260869,0.8929889298892989,0.6717557251908397,0.8777777777777778,0.8856088560885609,0.5801526717557253,0.8913857677902621,0.8818897637795275,0.7824427480916031,0.8992537313432836,0.8736059479553904,0.9323308270676691,0.8773234200743494,0.8947368421052632
DogulDomBendiely,0.8760683760683761,0.8870292887029289,0.8558951965065502,0.0,0.1409691629955947,0.6680672268907564,0.8317307692307692,0.85,0.8189655172413793,0.7647058823529411,0.8083333333333333,0.8340611353711791,0.8529411764705882,0.8026315789473684,0.8260869565217391,0.8396624472573839,0.7226890756302521,0.8983050847457628,0.7666666666666666,0.8059071729957806
DogulDomKundialang,0.8599221789883269,0.8631178707224334,0.8645418326693227,0.1409691629955947,0.0,0.6946564885496183,0.8414096916299559,0.8560606060606061,0.807843137254902,0.7709923664122138,0.7878787878787878,0.8280000000000001,0.8544061302681992,0.7943548387096774,0.8181818181818181,0.851145038167939,0.7480916030534351,0.9031007751937985,0.779467680608365,0.8076923076923077
DonnoSo,0.8411552346570397,0.8515901060070672,0.8587360594795539,0.6680672268907564,0.6946564885496183,0.0,0.7154811715481171,0.712280701754386,0.8029197080291971,0.8515901060070672,0.7859649122807018,0.8513011152416357,0.7153024911032029,0.7433962264150944,0.8639705882352942,0.7046263345195729,0.5406360424028269,0.8207885304659498,0.7561837455830389,0.5607142857142857
Gourou,0.7071129707112971,0.6708333333333334,0.8913043478260869,0.8317307692307692,0.8414096916299559,0.7154811715481171,0.0,0.22314049586776863,0.8851063829787233,0.8796680497925311,0.6859504132231404,0.8879310344827587,0.4291666666666667,0.7236842105263157,0.8931623931623932,0.5518672199170125,0.725,0.7142857142857143,0.7551867219917012,0.602510460251046
JamsayDouentza,0.7192982456140351,0.6862068965517241,0.8929889298892989,0.85,0.8560606060606061,0.712280701754386,0.22314049586776863,0.0,0.88339222614841,0.9037800687285223,0.7142857142857143,0.8929889298892989,0.44982698961937717,0.7100371747211895,0.9021739130434783,0.5793103448275863,0.764505119453925,0.7048611111111112,0.7439446366782008,0.6172413793103448
Mombo,0.8844765342960289,0.9,0.6717557251908397,0.8189655172413793,0.807843137254902,0.8029197080291971,0.8851063829787233,0.88339222614841,0.0,0.8368794326241135,0.8475177304964538,0.4486692015209125,0.8709677419354839,0.8697318007662835,0.7388059701492538,0.8652482269503546,0.8581560283687943,0.9136690647482014,0.8392857142857143,0.8673835125448028
Najamba,0.8692579505300353,0.8888888888888888,0.8777777777777778,0.7647058823529411,0.7709923664122138,0.8515901060070672,0.8796680497925311,0.9037800687285223,0.8368794326241135,0.0,0.8275862068965517,0.825925925925926,0.8566433566433567,0.752808988764045,0.7664233576642336,0.903114186851211,0.8178694158075601,0.9119718309859155,0.7526132404181185,0.8606271777003485
Nanga,0.5894736842105264,0.5689655172413793,0.8856088560885609,0.8083333333333333,0.7878787878787878,0.7859649122807018,0.6859504132231404,0.7142857142857143,0.8475177304964538,0.8275862068965517,0.0,0.8671586715867159,0.6341463414634146,0.6940298507462687,0.8695652173913043,0.7847222222222222,0.7808219178082192,0.7727272727272727,0.7152777777777778,0.78125
Penange,0.8754716981132076,0.895910780669145,0.5801526717557253,0.8340611353711791,0.8280000000000001,0.8513011152416357,0.8879310344827587,0.8929889298892989,0.4486692015209125,0.825925925925926,0.8671586715867159,0.0,0.8764044943820225,0.8588235294117648,0.7404580152671756,0.8768656716417911,0.8661710037174721,0.9210526315789473,0.8364312267657993,0.8801498127340824
PergeTegu,0.7071428571428571,0.6035087719298246,0.8913857677902621,0.8529411764705882,0.8544061302681992,0.7153024911032029,0.4291666666666667,0.44982698961937717,0.8709677419354839,0.8566433566433567,0.6341463414634146,0.8764044943820225,0.0,0.7121212121212122,0.875,0.6354166666666667,0.735191637630662,0.693661971830986,0.7256944444444444,0.5754385964912281
TebulUre,0.7279693486590038,0.7518796992481203,0.8818897637795275,0.8026315789473684,0.7943548387096774,0.7433962264150944,0.7236842105263157,0.7100371747211895,0.8697318007662835,0.752808988764045,0.6940298507462687,0.8588235294117648,0.7121212121212122,0.0,0.8610038610038611,0.769811320754717,0.6891385767790262,0.8181818181818181,0.6104868913857677,0.7169811320754718
Tiranige,0.9003690036900369,0.916058394160584,0.7824427480916031,0.8260869565217391,0.8181818181818181,0.8639705882352942,0.8931623931623932,0.9021739130434783,0.7388059701492538,0.7664233576642336,0.8695652173913043,0.7404580152671756,0.875,0.8610038610038611,0.0,0.9047619047619048,0.8832116788321168,0.9191176470588235,0.8613138686131387,0.8819188191881919
