,Ampari_Dogon,Ana_Tinga_Dogon,Bankan_Tey_Dogon,Ben_Tey_Dogon,Bunoge_Dogon,Dogul_Dom_Dogon,Donno_So_Dogon,Guru_(Mali),Jamsay_Dogon,Mombo_Dogon,Najamba,Nanga,Penange,Perge_Tegu,Tebul_Ure_Dogon,Tengou-Togo_Dogon,Tiranige_Diga_Dogon,Togo_Kan,Tommo_So_Dogon,Tomo_Kan_Dogon,Toro_Tegu_Dogon,Yanda_Dom_Dogon,Yorno_So
Ampari_Dogon,0.0,0.555956678700361,0.44630872483221473,0.4093959731543624,0.4040404040404041,0.40268456375838924,0.43624161073825507,0.5485074626865671,0.41946308724832215,0.23825503355704702,0.3959731543624161,0.3959731543624161,0.3602693602693603,0.44594594594594594,0.4832214765100671,0.520979020979021,0.41414141414141414,0.4429530201342282,0.37583892617449666,0.4907407407407407,0.4731543624161074,0.41946308724832215,0.40604026845637586
Ana_Tinga_Dogon,0.555956678700361,0.0,0.3992805755395683,0.3705035971223022,0.592057761732852,0.34172661870503596,0.3381294964028777,0.4395161290322581,0.33453237410071945,0.3920863309352518,0.3705035971223022,0.3453237410071942,0.552346570397112,0.3695652173913043,0.26618705035971224,0.4849624060150376,0.48014440433213,0.37410071942446044,0.2985611510791367,0.5482233502538071,0.40287769784172667,0.1079136690647482,0.3381294964028777
Bankan_Tey_Dogon,0.44630872483221473,0.3992805755395683,0.0,0.10333333333333339,0.4682274247491639,0.32999999999999996,0.31000000000000005,0.3481481481481481,0.21666666666666667,0.31999999999999995,0.25,0.1433333333333333,0.4381270903010034,0.21476510067114096,0.2366666666666667,0.3993055555555556,0.3277591973244147,0.29333333333333333,0.2766666666666666,0.38990825688073394,0.2666666666666667,0.26,0.27
Ben_Tey_Dogon,0.4093959731543624,0.3705035971223022,0.10333333333333339,0.0,0.39799331103678925,0.2766666666666666,0.2466666666666667,0.2962962962962963,0.1233333333333333,0.27,0.2433333333333333,0.10666666666666669,0.4013377926421404,0.13758389261744963,0.18666666666666665,0.3402777777777778,0.29431438127090304,0.20666666666666667,0.19666666666666666,0.3302752293577982,0.21999999999999997,0.18999999999999995,0.19333333333333336
Bunoge_Dogon,0.4040404040404041,0.592057761732852,0.4682274247491639,0.39799331103678925,0.0,0.4481605351170569,0.47157190635451507,0.5836431226765799,0.43143812709030105,0.27090301003344486,0.3913043478260869,0.4247491638795987,0.3355704697986577,0.46464646464646464,0.49498327759197325,0.5714285714285714,0.40268456375838924,0.47157190635451507,0.39799331103678925,0.543778801843318,0.47491638795986624,0.4581939799331104,0.43143812709030105
Dogul_Dom_Dogon,0.40268456375838924,0.34172661870503596,0.32999999999999996,0.2766666666666666,0.4481605351170569,0.0,0.21666666666666667,0.4222222222222223,0.26,0.20333333333333337,0.2433333333333333,0.2566666666666667,0.3745819397993311,0.2986577181208053,0.30666666666666664,0.3819444444444444,0.2976588628762542,0.28,0.18999999999999995,0.4311926605504587,0.3533333333333334,0.22666666666666668,0.2533333333333333
Donno_So_Dogon,0.43624161073825507,0.3381294964028777,0.31000000000000005,0.2466666666666667,0.47157190635451507,0.21666666666666667,0.0,0.31481481481481477,0.16333333333333333,0.25,0.33999999999999997,0.2433333333333333,0.45150501672240806,0.20134228187919467,0.28,0.2222222222222222,0.36454849498327757,0.17333333333333334,0.06999999999999995,0.3211009174311926,0.2666666666666667,0.22999999999999998,0.12
Guru_(Mali),0.5485074626865671,0.4395161290322581,0.3481481481481481,0.2962962962962963,0.5836431226765799,0.4222222222222223,0.31481481481481477,0.0,0.0888888888888889,0.4444444444444444,0.42592592592592593,0.31851851851851853,0.5576208178438662,0.17910447761194026,0.34444444444444444,0.3798449612403101,0.5055762081784387,0.22962962962962963,0.28148148148148144,0.46596858638743455,0.274074074074074,0.3296296296296296,0.2407407407407407
Jamsay_Dogon,0.41946308724832215,0.33453237410071945,0.21666666666666667,0.1233333333333333,0.43143812709030105,0.26,0.16333333333333333,0.0888888888888889,0.0,0.2766666666666666,0.27,0.18666666666666665,0.4013377926421404,0.07718120805369133,0.21666666666666667,0.20833333333333337,0.3612040133779264,0.11333333333333329,0.1433333333333333,0.2522935779816514,0.17333333333333334,0.20333333333333337,0.14
Mombo_Dogon,0.23825503355704702,0.3920863309352518,0.31999999999999995,0.27,0.27090301003344486,0.20333333333333337,0.25,0.4444444444444444,0.2766666666666666,0.0,0.21666666666666667,0.2566666666666667,0.12374581939799334,0.31543624161073824,0.2866666666666666,0.36111111111111116,0.21070234113712372,0.2733333333333333,0.22999999999999998,0.3807339449541285,0.3433333333333334,0.23333333333333328,0.2533333333333333
