ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
1472	Guru_(Mali)	accompany	ní.ínɛ́	1542.0	4	A	N	8	8.N.C	2.0	ní.ínɛ́	0	7	ní.ínɛ́
5598	Togo_Kan	accompany	ní.ínɛ́	1542.0	4	A	N	18	18.N.C	2.0	ní.ínɛ́	0	7	ní.ínɛ́
5599	Togo_Kan	accompany	ní.ínì	1542.0	4	A	N	18	18.N.C	2.0	ní.ínì	0	7	ní.ínì
5671	Bankan_Tey_Dogon	accompany	ŋɡírí	1542.0	4	A	N	3	3.N.C	2.0	ŋɡírí	0	7	ŋɡírí
20825	Donno_So_Dogon	accompany	ní.ín.dɛ̀	1542.0	4	A	N	7	7.N.C	2.0	ní.ín.dɛ̀	0	7	ní.ín.dɛ̀
20837	Donno_So_Dogon	accompany	ní.ín.d-ì	1542.0	4	A	N	7	7.N.C	2.0	ní.ín.d-ì	0	7	ní.ín.d-ì
26014	Penange	accompany	nɛ́mdɛ̀	1542.0	4	A	N	13	13.N.C	2.0	nɛ́mdɛ̀	0	7	nɛ́mdɛ̀
26150	Toro_Tegu_Dogon	accompany	lílá	1542.0	5	A	L	21	21.L.C	2.0	lílá	0	14	lílá
26151	Toro_Tegu_Dogon	accompany	lílú	1542.0	5	A	L	21	21.L.C	2.0	lílú	0	14	lílú
44432	Jamsay_Dogon	accompany	nine	1542.0	4	A	N	9	9.N.C	2.0	nine	0	7	nine
47311	Yorno_So	accompany	dìmɛ́-rɛ́	1542.0	1	A	T	23	23.T.C	2.0	dìmɛ́-rɛ́	0	5	dìmɛ́-rɛ́
48229	Yorno_So	accompany	ní.ínɛ́	1542.0	4	A	N	23	23.N.C	2.0	ní.ínɛ́	0	34	ní.ínɛ́
61212	Najamba	accompany	dɛ̀.ɛ́rɛ́	1542.0	1	A	T	11	11.T.C	2.0	dɛ̀.ɛ́rɛ́	0	5	dɛ̀.ɛ́rɛ́
61660	Najamba	accompany	tɛ́rí-jɛ́	1542.0	1	A	T	11	11.T.C	2.0	tɛ́rí-jɛ́	0	5	tɛ́rí-jɛ́
70042	Bunoge_Dogon	accompany	dí.ín.dɛ̀	1542.0	1	A	T	5	5.T.C	2.0	dí.ín.dɛ̀	0	5	dí.ín.dɛ̀
70340	Ben_Tey_Dogon	accompany	lí.ílí#dɔ̀.ɔ̀-lí	1542.0	5	A	L	4	4.L.C	2.0	lí.ílí#dɔ̀.ɔ̀-lí	0	4	lí.ílí#dɔ̀.ɔ̀-lí
70341	Ben_Tey_Dogon	accompany	lí.ílí	1542.0	5	A	L	4	4.L.C	2.0	lí.ílí	0	4	lí.ílí
74982	Yanda_Dom_Dogon	accompany	ní.ín.dá-lì	1542.0	4	A	N	22	22.N.C	2.0	ní.ín.dá-lì	0	7	ní.ín.dá-lì
74983	Yanda_Dom_Dogon	accompany	ní.ín.dɛ́	1542.0	4	A	N	22	22.N.C	2.0	ní.ín.dɛ́	0	7	ní.ín.dɛ́
88513	Dogul_Dom_Dogon	accompany	í.ín.dɛ̀	1542.0	7	X	I	6	6.I.V	1.5	í.ín.dɛ̀	0	1	í.ín.dɛ̀
91195	Tebul_Ure_Dogon	accompany	ní.ín.dí	1542.0	4	A	N	15	15.N.C	2.0	ní.ín.dí	0	7	ní.ín.dí
95508	Jamsay_Dogon	accompany	ní.íné	1542.0	4	A	N	9	9.N.C	2.0	ní.íné	0	7	ní.íné
96265	Tommo_So_Dogon	accompany	ní.í-n.dɛ́	1542.0	4	A	N	19	19.N.C	2.0	ní.í-n.dɛ́	0	7	ní.í-n.dɛ́
97417	Tommo_So_Dogon	accompany	té.érí-jé	1542.0	1	A	T	19	19.T.C	2.0	té.érí-jé	0	5	té.érí-jé
101366	Tiranige_Diga_Dogon	accompany	ín.d.ʒírɔ́	1542.0	7	X	I	17	17.I.V	1.5	ín.d.ʒírɔ́	0	1	ín.d.ʒírɔ́
103062	Nanga	accompany	íŋ.ɡírí	1542.0	7	X	I	12	12.I.V	1.5	íŋ.ɡírí	0	1	íŋ.ɡírí
111778	Perge_Tegu	accompany	lí.ílɛ́	1542.0	5	A	L	14	14.L.C	2.0	lí.ílɛ́	0	14	lí.ílɛ́
118986	Jamsay_Dogon	accompany	ni.ine	1542.0	4	A	N	9	9.N.C	2.0	ni.ine	0	7	ni.ine
119472	Ana_Tinga_Dogon	accompany	niduɡo	1542.0	4	A	N	2	2.N.C	2.0	niduɡo	0	7	niduɡo
