ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
1472	Guru_(Mali)	accompany	ní.ínɛ́	1542.0
5598	Togo_Kan	accompany	ní.ínɛ́	1542.0
5599	Togo_Kan	accompany	ní.ínì	1542.0
5671	Bankan_Tey_Dogon	accompany	ŋɡírí	1542.0
20825	Donno_So_Dogon	accompany	ní.ín.dɛ̀	1542.0
20837	Donno_So_Dogon	accompany	ní.ín.d-ì	1542.0
26014	Penange	accompany	nɛ́mdɛ̀	1542.0
26150	Toro_Tegu_Dogon	accompany	lílá	1542.0
26151	Toro_Tegu_Dogon	accompany	lílú	1542.0
44432	Jamsay_Dogon	accompany	nine	1542.0
47311	Yorno_So	accompany	dìmɛ́-rɛ́	1542.0
48229	Yorno_So	accompany	ní.ínɛ́	1542.0
61212	Najamba	accompany	dɛ̀.ɛ́rɛ́	1542.0
61660	Najamba	accompany	tɛ́rí-jɛ́	1542.0
70042	Bunoge_Dogon	accompany	dí.ín.dɛ̀	1542.0
70340	Ben_Tey_Dogon	accompany	lí.ílí#dɔ̀.ɔ̀-lí	1542.0
70341	Ben_Tey_Dogon	accompany	lí.ílí	1542.0
74982	Yanda_Dom_Dogon	accompany	ní.ín.dá-lì	1542.0
74983	Yanda_Dom_Dogon	accompany	ní.ín.dɛ́	1542.0
88513	Dogul_Dom_Dogon	accompany	í.ín.dɛ̀	1542.0
91195	Tebul_Ure_Dogon	accompany	ní.ín.dí	1542.0
95508	Jamsay_Dogon	accompany	ní.íné	1542.0
96265	Tommo_So_Dogon	accompany	ní.í-n.dɛ́	1542.0
97417	Tommo_So_Dogon	accompany	té.érí-jé	1542.0
101366	Tiranige_Diga_Dogon	accompany	ín.d.ʒírɔ́	1542.0
103062	Nanga	accompany	íŋ.ɡírí	1542.0
111778	Perge_Tegu	accompany	lí.ílɛ́	1542.0
118986	Jamsay_Dogon	accompany	ni.ine	1542.0
119472	Ana_Tinga_Dogon	accompany	niduɡo	1542.0
120024	Tebul_Ure_Dogon	accompany	nin.du	1542.0
121352	Yanda_Dom_Dogon	accompany	ɲin.dɛ	1542.0
128976	Jamsay_Dogon	accompany	ní.íné	1542.0
129916	Tengou-Togo_Dogon	accompany	ni.inɛ	1542.0
132219	Nanga	accompany	íŋ.ɡírí	1542.0
141352	Nanga	accompany	íŋ.ɡírí	1542.0
144093	Mombo_Dogon	accompany	nin.dɔ	1542.0
145829	Mombo_Dogon	accompany	ni.in.dɔɡɔ	1542.0
148853	Donno_So_Dogon	accompany	ni.in.dedu	1542.0
149748	Ampari_Dogon	accompany	e#untu	1542.0
151958	Toro_Tegu_Dogon	accompany	lílá	1542.0
151959	Toro_Tegu_Dogon	accompany	lílú	1542.0
1673	Bankan_Tey_Dogon	agree	ǎw	3643.0
1769	Guru_(Mali)	agree	jɔ̀wɔ́	3643.0
3095	Bankan_Tey_Dogon	agree	ǎw	3643.0
7097	Togo_Kan	agree	má.áná	3643.0
7098	Togo_Kan	agree	mà.án	3643.0
7099	Togo_Kan	agree	jɔ̀.ɔ́	3643.0
7100	Togo_Kan	agree	jɔ̀wɔ́	3643.0
19150	Toro_Tegu_Dogon	agree	bá	3643.0
21570	Donno_So_Dogon	agree	jáb-ì	3643.0
21571	Donno_So_Dogon	agree	jàbá	3643.0
26420	Penange	agree	ábé	3643.0
32056	Mombo_Dogon	agree	ábé	3643.0
33004	Mombo_Dogon	agree	dáɡé	3643.0
41158	Jamsay_Dogon	agree	mɔnɔ	3643.0
43100	Jamsay_Dogon	agree	jɔwɔ	3643.0
50441	Yorno_So	agree	jàb-í.í	3643.0
50442	Yorno_So	agree	jàb-ɛ́.ɛ́	3643.0
54012	Yorno_So	agree	tój-í.í	3643.0
