ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
1472	Guru_(Mali)	accompany	ní.ínɛ́	1542
5598	Togo_Kan	accompany	ní.ínɛ́	1542
5599	Togo_Kan	accompany	ní.ínì	1542
5671	Bankan_Tey_Dogon	accompany	ŋɡírí	1542
20825	Donno_So_Dogon	accompany	ní.ín.dɛ̀	1542
20837	Donno_So_Dogon	accompany	ní.ín.d-ì	1542
26014	Penange	accompany	nɛ́mdɛ̀	1542
26150	Toro_Tegu_Dogon	accompany	lílá	1542
26151	Toro_Tegu_Dogon	accompany	lílú	1542
44432	Jamsay_Dogon	accompany	nine	1542
47311	Yorno_So	accompany	dìmɛ́-rɛ́	1542
48229	Yorno_So	accompany	ní.ínɛ́	1542
61212	Najamba	accompany	dɛ̀.ɛ́rɛ́	1542
61660	Najamba	accompany	tɛ́rí-jɛ́	1542
70042	Bunoge_Dogon	accompany	dí.ín.dɛ̀	1542
70340	Ben_Tey_Dogon	accompany	lí.ílí#dɔ̀.ɔ̀-lí	1542
70341	Ben_Tey_Dogon	accompany	lí.ílí	1542
74982	Yanda_Dom_Dogon	accompany	ní.ín.dá-lì	1542
74983	Yanda_Dom_Dogon	accompany	ní.ín.dɛ́	1542
88513	Dogul_Dom_Dogon	accompany	í.ín.dɛ̀	1542
91195	Tebul_Ure_Dogon	accompany	ní.ín.dí	1542
95508	Jamsay_Dogon	accompany	ní.íné	1542
96265	Tommo_So_Dogon	accompany	ní.í-n.dɛ́	1542
97417	Tommo_So_Dogon	accompany	té.érí-jé	1542
101366	Tiranige_Diga_Dogon	accompany	ín.d.ʒírɔ́	1542
103062	Nanga	accompany	íŋ.ɡírí	1542
111778	Perge_Tegu	accompany	lí.ílɛ́	1542
118986	Jamsay_Dogon	accompany	ni.ine	1542
119472	Ana_Tinga_Dogon	accompany	niduɡo	1542
120024	Tebul_Ure_Dogon	accompany	nin.du	1542
121352	Yanda_Dom_Dogon	accompany	ɲin.dɛ	1542
128976	Jamsay_Dogon	accompany	ní.íné	1542
129916	Tengou-Togo_Dogon	accompany	ni.inɛ	1542
132219	Nanga	accompany	íŋ.ɡírí	1542
141352	Nanga	accompany	íŋ.ɡírí	1542
144093	Mombo_Dogon	accompany	nin.dɔ	1542
145829	Mombo_Dogon	accompany	ni.in.dɔɡɔ	1542
148853	Donno_So_Dogon	accompany	ni.in.dedu	1542
149748	Ampari_Dogon	accompany	e#untu	1542
151958	Toro_Tegu_Dogon	accompany	lílá	1542
151959	Toro_Tegu_Dogon	accompany	lílú	1542
1673	Bankan_Tey_Dogon	agree	ǎw	3643
1769	Guru_(Mali)	agree	jɔ̀wɔ́	3643
3095	Bankan_Tey_Dogon	agree	ǎw	3643
7097	Togo_Kan	agree	má.áná	3643
7098	Togo_Kan	agree	mà.án	3643
7099	Togo_Kan	agree	jɔ̀.ɔ́	3643
7100	Togo_Kan	agree	jɔ̀wɔ́	3643
19150	Toro_Tegu_Dogon	agree	bá	3643
21570	Donno_So_Dogon	agree	jáb-ì	3643
21571	Donno_So_Dogon	agree	jàbá	3643
26420	Penange	agree	ábé	3643
32056	Mombo_Dogon	agree	ábé	3643
33004	Mombo_Dogon	agree	dáɡé	3643
41158	Jamsay_Dogon	agree	mɔnɔ	3643
43100	Jamsay_Dogon	agree	jɔwɔ	3643
50441	Yorno_So	agree	jàb-í.í	3643
50442	Yorno_So	agree	jàb-ɛ́.ɛ́	3643
54012	Yorno_So	agree	tój-í.í	3643
54013	Yorno_So	agree	tój-ɛ́.ɛ́	3643
58604	Najamba	agree	àbè	3643
58605	Najamba	agree	àbí	3643
67654	Ben_Tey_Dogon	agree	dà.àjì-wú	3643
68518	Ben_Tey_Dogon	agree	àwú	3643
70511	Bunoge_Dogon	agree	ʔábè	3643
77401	Yanda_Dom_Dogon	agree	àbìjà-lí	3643
77402	Yanda_Dom_Dogon	agree	ábíjɛ́	3643
77403	Yanda_Dom_Dogon	agree	àbà-lí	3643
77404	Yanda_Dom_Dogon	agree	ábé	3643
84212	Tommo_So_Dogon	agree	bɔ̀.ɔ̀ŋí-jɔ́	3643
86719	Tommo_So_Dogon	agree	jàbá	3643
88852	Dogul_Dom_Dogon	agree	ábè	3643
91785	Tebul_Ure_Dogon	agree	àb-í.í	3643
91786	Tebul_Ure_Dogon	agree	àbá	3643
92481	Tommo_So_Dogon	agree	jàbá	3643
95865	Jamsay_Dogon	agree	jɔ̀wɔ́	3643
100960	Tiranige_Diga_Dogon	agree	áwó	3643
104299	Nanga	agree	àwá	3643
105190	Nanga	agree	dàɡá-mí	3643
113460	Perge_Tegu	agree	àwá	3643
115908	Perge_Tegu	agree	dàn.ɡá	3643
118989	Jamsay_Dogon	agree	d.ʒɔ.ɔmɔnɔ	3643
119475	Ana_Tinga_Dogon	agree	abija	3643
120027	Tebul_Ure_Dogon	agree	abi	3643
121361	Yanda_Dom_Dogon	agree	abjɛm	3643
126113	Jamsay_Dogon	agree	mɔ̀.ɔ̀-nɔ́	3643
127838	Jamsay_Dogon	agree	jɔ̀wɔ́	3643
129920	Tengou-Togo_Dogon	agree	d.ʒɔwɔ	3643
134308	Nanga	agree	àwá	3643
140172	Nanga	agree	àwá	3643
145834	Mombo_Dogon	agree	awed.ʒu.nɡɔ	3643
148856	Donno_So_Dogon	agree	d.ʒabuŋ	3643
149728	Ampari_Dogon	agree	ntɛnjɛ	3643
153107	Toro_Tegu_Dogon	agree	bá	3643
162102	Nanga	agree	dàɡámí	3643
162110	Nanga	agree	dàɡámí	3643
1516	Guru_(Mali)	answer	sá.á	1275
1517	Guru_(Mali)	answer	ká.á#sá.á	1275
5339	Bankan_Tey_Dogon	answer	kísɛ́	1275
5761	Togo_Kan	answer	sá.á	1275
20901	Donno_So_Dogon	answer	jábìl-ì-j	1275
20902	Donno_So_Dogon	answer	jàbìl-ɛ́.ɛ́	1275
25520	Toro_Tegu_Dogon	answer	tʃísó	1275
25521	Toro_Tegu_Dogon	answer	tʃísú	1275
26060	Penange	answer	d.ʒám.bé	1275
26061	Penange	answer	kíd.ʒɛ́	1275
30841	Mombo_Dogon	answer	kízɛ́	1275
30842	Mombo_Dogon	answer	ábúlè	1275
44231	Jamsay_Dogon	answer	kasa	1275
44232	Jamsay_Dogon	answer	sa	1275
48560	Yorno_So	answer	sáj	1275
48561	Yorno_So	answer	sá.á	1275
60875	Najamba	answer	d.ʒá.ábɛ́	1275
69616	Ben_Tey_Dogon	answer	mò.ó#sá	1275
69617	Ben_Tey_Dogon	answer	sá	1275
70084	Bunoge_Dogon	answer	kíd.ʒɛ̀	1275
75271	Yanda_Dom_Dogon	answer	sá.á	1275
75272	Yanda_Dom_Dogon	answer	mbò#sá.á	1275
88552	Dogul_Dom_Dogon	answer	kíɡìl-mè	1275
88553	Dogul_Dom_Dogon	answer	kísɛ̀	1275
91261	Tebul_Ure_Dogon	answer	sá	1275
91262	Tebul_Ure_Dogon	answer	sá.á-mí	1275
95535	Jamsay_Dogon	answer	sá.á	1275
95821	Tommo_So_Dogon	answer	jàbí-lɛ́	1275
95822	Tommo_So_Dogon	answer	sáwá	1275
101327	Tiranige_Diga_Dogon	answer	tʃíɡírɔ́	1275
103243	Nanga	answer	nɔ̀.ɔ́#sá.á	1275
103244	Nanga	answer	sá.á	1275
112025	Perge_Tegu	answer	sá.á	1275
118994	Jamsay_Dogon	answer	sa.ara	1275
119444	Ana_Tinga_Dogon	answer	bonɔle	1275
120033	Tebul_Ure_Dogon	answer	sanmi	1275
121336	Yanda_Dom_Dogon	answer	samɛm	1275
122454	Bunoge_Dogon	answer	kiɡju	1275
128798	Jamsay_Dogon	answer	sá.á	1275
129938	Tengou-Togo_Dogon	answer	sa.a	1275
132398	Nanga	answer	sá.á	1275
141214	Nanga	answer	sá.á	1275
145795	Mombo_Dogon	answer	abuld.ʒuɡɔ	1275
148830	Donno_So_Dogon	answer	d.ʒabile	1275
149733	Ampari_Dogon	answer	jampe	1275
152048	Toro_Tegu_Dogon	answer	tʃísú	1275
152079	Toro_Tegu_Dogon	answer	tʃísó	1275
160760	Toro_Tegu_Dogon	answer	tʃísó	1275
160761	Toro_Tegu_Dogon	answer	tʃísú	1275
161454	Tiranige_Diga_Dogon	answer	tʃíɡírɔ́	1275
162063	Dogul_Dom_Dogon	answer	kíɡìlmè	1275
162064	Dogul_Dom_Dogon	answer	kísɛ̀	1275
162904	Donno_So_Dogon	answer	jàbìlɛ́.ɛ́	1275
162935	Donno_So_Dogon	answer	jábìlìj	1275
359	Tomo_Kan_Dogon	armpit	kì-kàrà	1886
1527	Guru_(Mali)	armpit	kìkàrá	1886
3490	Tomo_Kan_Dogon	armpit	kì-kàrà	1886
5264	Bankan_Tey_Dogon	armpit	árkɛ́n.dɛ̀	1886
5794	Togo_Kan	armpit	kàkàrá	1886
